Category,Title,Authors,Categories,PriceNIS,PriceUSD,Year,Synopsis,SynopsisLength,NumberOfReviews,StarRating,Language,Format,Dimensions,DimensionsUnit,ISBN13,book_url,Weight,WeightUnit,ISBN,IsExpensive,NumberOfAuthors
Outdoor Sports And Leisure Activities,100 Deadly Skills: Survival Edition: The Seal Operative'S Guide to Surviving in the Wild and Being Prepared for any Disaster,"Emerson, Clint",Outdoor survival skills,69.2,23.0,2016.0,"From national bestselling author and retired Navy SEAL Clint Emerson comes the essential guide for surviving today's emergencies--from navigating in the wild to staying alive in any disaster. These 100 skills, adapted for civilians from actual field experiences of special forces operations, offer a complete hands-on and practical guide to help you survive in the wild no matter the climate or terrain; be prepared for any crisis; and have the critical life-saving knowledge for staying safe in any hostile environment or disaster. Yesterday's survival guide is no longer relevant. 100 Deadly Skills: Survival Edition is what you need for today's world, combining survival hacks developed on the battlefield with the low-tech tools you have on hand. This book is your essential prep manual, from securing shelter, building fire, finding food, and navigating back to civilization no matter the environment to thinking like a special forces solider so that you can survive a hostage situation, an active shooter, a suicide bomber, or a terrorist threat on the subway, and even apply trauma medicine as a first responder. Full of specific scenarios to help you get in the mindset of survival, 100 Deadly Skills: Survival Edition is better than a Swiss Army knife whether you're lost at sea, forced to land a plane, fighting off a bear, or deciding whether to run, hide, or fight. Next to each skill are easy-to-grasp detailed illustrations, because when you need to survive the apocalypse, you don't have time for complicated instructions.",1537.0,1,5.0,English,Paperback,"21.3,14.2,1.8",cm,9781501143908,https://www.bookdelivery.com/il-en/book-100-deadly-skills-survival-edition-the-seal-operative-s-guide-to-surviving-in-the-wild-and-being-prepared-for-any-disaster/9781501143908/p/47642946,0.36,kg,,0,2
Society And Social Sciences,"100 Deadly Skills: The Seal Operative's Guide to Eluding Pursuers, Evading Capture, and Surviving any Dangerous Situation","Emerson, Clint",Espionage and secret services,56.64,18.82,2015.0,"A hands-on, practical survival guide from retired Navy SEAL Clint Emerson--adapted for civilians from actual special forces operations--to eluding pursuers, evading capture, and surviving any dangerous situation. In today's increasingly dangerous worl",251.0,0,None,English,Paperback,"21.1,13.7,1.8",cm,9781476796055,https://www.bookdelivery.com/il-en/book-100-deadly-skills-the-seal-operative-s-guide-to-eluding-pursuers-evading-capture-and-surviving-any-dangerous-situation/9781476796055/p/47518718,0.36,kg,,0,2
"Lifestyle, Hobbies And Leisure",100 Dot-to-Dot Puzzles Book: Jumbo Dot to Dot For Adults,"Dots, Happiness","Hobbies, puzzles and games",66.84,22.21,,,,0,None,English,Paperback,"27.9,21.6,0.6",cm,9798684000393,https://www.bookdelivery.com/il-en/book-100-dot-to-dot-puzzles-book-jumbo-dot-to-dot-for-adults/9798684000393/p/56264778,0.26,kg,,0,2
History And Archaeology,100 GREAT AFRICAN KINGS AND QUEENS ( Volume 1): Revised Enriched Edition ( Black/White ),"Commey, Pusch Komiete","Africa,Education,African history",44.52,14.8,,,,0,None,English,Paperback,"22.9,15.2,0.8",cm,9798555560308,https://www.bookdelivery.com/il-en/book-100-great-african-kings-and-queens-volume-1-revised-enriched-edition-black-white/9798555560308/p/56903683,0.21,kg,,0,2
Computing And Information Technology,100 Go Mistakes and How to Avoid Them,"Harsanyi, Teiva",Programming languages and extension/scripting: general,149.03,49.52,,"Spot errors in your Go code you didn't even know you were making and boost your productivity by avoiding common mistakes and pitfalls. 100 Go Mistakes and How to Avoid Them shows you how to: Dodge the most common mistakes made by Go developers Structure and organize your Go application Handle data and control structures efficiently Deal with errors in an idiomatic manner Improve your concurrency skills Optimize your code Make your application production-ready and improve testing quality 100 Go Mistakes and How to Avoid Them puts a spotlight on common errors in Go code you might not even know you're making. You'll explore key areas of the language such as concurrency, testing, data structures, and more--and learn how to avoid and fix mistakes in your own projects. As you go, you'll navigate the tricky bits of handling JSON data and HTTP services, discover best practices for Go code organization, and learn how to use slices efficiently. Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About the technology Understanding mistakes is the best way to improve the quality of your code. This unique book examines 100 bugs and inefficiencies common to Go applications, along with tips and techniques to avoid making them in your own projects. About the book 100 Go Mistakes and How to Avoid Them shows you how to replace common programming problems in Go with idiomatic, expressive code. In it, you'll explore dozens of interesting examples and case studies as you learn to spot mistakes that might appear in your own applications. Expert author Teiva Harsanyi organizes the error avoidance techniques into convenient categories, ranging from types and strings to concurrency and testing. What's inside Identify and squash code-level bugs Avoid problems with application structure and design Perfect your data and control structures Optimize your code by eliminating inefficiencies About the reader For developers proficient with Go programming and syntax. About the author Teiva Harsanyi is a senior software engineer at Docker with experience in various domains, including safety-critical industries like air traffic management. Table of Contents 1 Go: Simple to learn but hard to master 2 Code and project organization 3 Data types 4 Control structures 5 Strings 6 Functions and methods 7 Error management 8 Concurrency: Foundations 9 Concurrency: Practice 10 The standard library 11 Testing 12 Optimizations",2478.0,0,None,English,Paperback,"23.7,19.0,2.1",cm,9781617299599,https://www.bookdelivery.com/il-en/book-100-go-mistakes-and-how-to-avoid-them/9781617299599/p/54274690,0.58,kg,,1,2
"Lifestyle, Hobbies And Leisure",100 Hikes of a Lifetime: The World's Ultimate Scenic Trails,Kate Siber,"Hiking and rambling,Travel guides: adventure holidays,Travel guides: routes and tours",91.04,30.25,2020.0,"This ultimate hiker's bucket list, from the celebrated Appalachian Trail to Micronesia's off-the-beaten-path Six Waterfalls Hike, treks through 100 energizing experiences for all levels. Filled with beautiful National Geographic photography, wisdom from expert hikers like Andrew Skurka, need-to-know travel information, and practical wildlife-spotting tips, this inspirational guide offers the planet's best experiences for hikers and sightseers. From short day hikes--California's Sierra High Route, Lake Agnes Teahouse in Alberta, Norway's Mt. Skala--to multiday excursions like Mt. Meru in Tanzania and multi-week treks (Egypt's Sinai Trail, Bhutan's Snowman Trek, and the Bibbulum Track in Australia), you'll find a hike that matches your interests and skill level. Crossing all continents and climates (from the jungles of Costa Rica to the ice fields in Alaska's Kenai Fjords National Parks), as well as experiences (a wine route through Switzerland or moose spotting on the Teton Crest Trail in Wyoming, ) there is a trail for everyone in these pages. So pack your gear and lace your boots: this comprehensive and innovative guide will lead you to experience the best hikes of your life!",1195.0,0,None,English,Hardcover,"21.6,22.4,3.3",cm,9781426220951,https://www.bookdelivery.com/il-en/book-100-hikes-of-a-lifetime-the-world-s-ultimate-scenic-trails/9781426220951/p/52043213,1.44,kg,,1,1
Outdoor Sports And Leisure Activities,100 Hikes of a Lifetime: The World's Ultimate Scenic Trails,Kate Siber,"Hiking and rambling,Travel guides: adventure holidays,Travel guides: routes and tours",91.04,30.25,2020.0,"This ultimate hiker's bucket list, from the celebrated Appalachian Trail to Micronesia's off-the-beaten-path Six Waterfalls Hike, treks through 100 energizing experiences for all levels. Filled with beautiful National Geographic photography, wisdom from expert hikers like Andrew Skurka, need-to-know travel information, and practical wildlife-spotting tips, this inspirational guide offers the planet's best experiences for hikers and sightseers. From short day hikes--California's Sierra High Route, Lake Agnes Teahouse in Alberta, Norway's Mt. Skala--to multiday excursions like Mt. Meru in Tanzania and multi-week treks (Egypt's Sinai Trail, Bhutan's Snowman Trek, and the Bibbulum Track in Australia), you'll find a hike that matches your interests and skill level. Crossing all continents and climates (from the jungles of Costa Rica to the ice fields in Alaska's Kenai Fjords National Parks), as well as experiences (a wine route through Switzerland or moose spotting on the Teton Crest Trail in Wyoming, ) there is a trail for everyone in these pages. So pack your gear and lace your boots: this comprehensive and innovative guide will lead you to experience the best hikes of your life!",1195.0,0,None,English,Hardcover,"21.6,22.4,3.3",cm,9781426220951,https://www.bookdelivery.com/il-en/book-100-hikes-of-a-lifetime-the-world-s-ultimate-scenic-trails/9781426220951/p/52043213,1.44,kg,,1,1
"Reference, Information And Interdisciplinary Subjects",100 Ideas That Changed Architecture,"Weston, Richard","History of architecture,Reference works",76.11,25.29,2020.0,"Written by an expert, 100 Ideas that Changed Architecture provides a concise history of the subject, and offers a fascinating resource to dip into for the general reader. Starting with the basic building 'components' of door, window, column and beam and the Classical orders, this inspiring book goes on to explore historical architectural movements such as the Picturesque and Beaux-Arts, innovative materials such as steel and reinforced concrete, technical innovations, such as the lift and electric lighting, through to modern movements such as Universal Design and Deconstruction. Arranged in a broadly chronological order, these architectural ideas are presented through informative text and arresting visuals, exploring when each idea first evolved and the subsequent impact it has had up to the present day.",815.0,0,None,English,Paperback,"21.6,16.8,1.3",cm,9781786275677,https://www.bookdelivery.com/il-en/book-100-ideas-that-changed-architecture/9781786275677/p/52031323,0.54,kg,,1,2
"Biography, Literature And Literary Studies","100 Selected Poems, Sylvia Plath","Plath, Sylvia","United states of america,Poetry",80.83,26.86,,"This books is a collection of poetry by SYLVIA PLATH. He was an American poet, novelist, and short-story writer. She is credited with advancing the genre of confessional poetry and is best known for two of her published collections, The Colossus and Other Poems (1960) and Ariel (1965), as well as The Bell Jar, a semi-autobiographical novel published shortly before her death in 1963. The Collected Poems were published in 1981, which included previously unpublished works. For this collection Plath was awarded a Pulitzer Prize in Poetry in 1982, making her the fourth to receive this honour posthumously.",607.0,0,None,English,Paperback,"21.6,14.0,1.1",cm,9789394109582,https://www.bookdelivery.com/il-en/book-100-selected-poems-sylvia-plath/9789394109582/p/54684602,0.25,kg,,1,2
Outdoor Sports And Leisure Activities,100 Slopes of a Lifetime: The World'S Ultimate ski and Snowboard Destinations,"Megroz, Gordy","Sports: general,Skiing,Travel guides: adventure holidays,Travel guides: active holidays",91.04,30.25,2021.0,"This ultimate skier and snowboarder bucket list, from celebrated runs in Alta, Utah, to the challenge of Switzerland's 4 Vallees races through 100 energizing snowy experiences for all levels. Filled with beautiful National Geographic photography, wisdom from experts, need-to-know travel information, and practical tips, this inspirational guide offers the planet's best ski and snowboarding experiences on breathtaking slopes around the world. Complete with a foreword from celebrated Olympic alpine skier Lindsey Vonn, 100 Slopes of a Lifetime is divided by interest and skill level: cross-country routes to intermediate downhill moguls to expert-only backcountry terrain, skiers and snowboarders will find the perfect destination for their dream terrain. From dreamy Colorado escapes to Hokkaido, Japan, where Siberian storms dump more than 60 feet of snow every year, you'll find countless slopes to add to your bucket list from the wilds of Alaska to breathtaking Morocco. Plus find plenty of apres ski activities including: Getting up close with elk in Jackson HoleTrying Europe's longest toboggan runOr sampling the Dolomite's finest cuisine)Grab your skis or boards; this comprehensive and innovative guide will lead you to experience the greatest snow-play adventures the world has to offer!",1300.0,0,None,English,Hardcover,"24.5,20.6,3.1",cm,9781426221958,https://www.bookdelivery.com/il-en/book-100-slopes-of-a-lifetime-the-world-s-ultimate-ski-and-snowboard-destinations/9781426221958/p/53789581,1.47,kg,,1,2
"Lifestyle, Hobbies And Leisure",100 Slopes of a Lifetime: The World'S Ultimate ski and Snowboard Destinations,"Megroz, Gordy","Sports: general,Skiing,Travel guides: adventure holidays,Travel guides: active holidays",91.04,30.25,2021.0,"This ultimate skier and snowboarder bucket list, from celebrated runs in Alta, Utah, to the challenge of Switzerland's 4 Vallees races through 100 energizing snowy experiences for all levels. Filled with beautiful National Geographic photography, wisdom from experts, need-to-know travel information, and practical tips, this inspirational guide offers the planet's best ski and snowboarding experiences on breathtaking slopes around the world. Complete with a foreword from celebrated Olympic alpine skier Lindsey Vonn, 100 Slopes of a Lifetime is divided by interest and skill level: cross-country routes to intermediate downhill moguls to expert-only backcountry terrain, skiers and snowboarders will find the perfect destination for their dream terrain. From dreamy Colorado escapes to Hokkaido, Japan, where Siberian storms dump more than 60 feet of snow every year, you'll find countless slopes to add to your bucket list from the wilds of Alaska to breathtaking Morocco. Plus find plenty of apres ski activities including: Getting up close with elk in Jackson HoleTrying Europe's longest toboggan runOr sampling the Dolomite's finest cuisine)Grab your skis or boards; this comprehensive and innovative guide will lead you to experience the greatest snow-play adventures the world has to offer!",1300.0,0,None,English,Hardcover,"24.5,20.6,3.1",cm,9781426221958,https://www.bookdelivery.com/il-en/book-100-slopes-of-a-lifetime-the-world-s-ultimate-ski-and-snowboard-destinations/9781426221958/p/53789581,1.47,kg,,1,2
Language And Linguistics,100 Task Cards in a Box: Context Clues: Mini-Passages with Key Questions to Boost Reading Comprehension Skills,"Martin, Justin,Ghiglieri, Carol","Language learning: reading skills,Teaching reading, writing and arithmetic,Teaching, mother tongue/native language: reading and writing skills",109.03,36.23,,"Just 10 minutes a day can boost kids' reading comprehension!These collections of ready-to-go task cards feature high-interest short passages with key questions that prompt students to identify the main idea, make inferences, sequence events, compare and contrast, determine the author's purpose, summarize, and more. Bonus Comprehension Helper cards provide kid-friendly definitions, tips, and examples to help students master reading skills. Perfect for whole-class, group, and independent learning.",500.0,0,None,English,Hardcover,"22.9,16.3,9.9",cm,9781338748369,https://www.bookdelivery.com/il-en/book-100-task-cards-in-a-box-context-clues-mini-passages-with-key-questions-to-boost-reading-comprehension-skills/9781338748369/p/54292932,1.18,kg,,1,4
Computing And Information Technology,100 Things Every Designer Needs to Know About People (Voices That Matter),"Weinschenk, Susan","Arts: general aspects,Web programming",104.0,34.56,2020.0,"Apply psychology and behavioral science to web, UX, and graphic design Behavioral science leader and CEO at The Team W, Inc., Susan M. Weinschenk, provides a guide that every designer needs, combining real science and research with practical examples on everything from font size to online interactions. With this book you'll design more intuitive and engaging apps, software, websites and products that match the way people think, decide and behave. Here are some of the questions this book will answer: What grabs and holds attention? What makes memories stick? What motivates people? How does listening to music make people feel? How do you engineer a decision? What line length for text is best? Are some fonts better than others? We design to elicit responses from people. We want them to buy something, read more, or take action of some kind. Designing without understanding what makes people act the way they do is like exploring a new city without a map: results will be haphazard, confusing, and inefficient. Increase the effectiveness of your designs by using science-backed examples on human behavior. 'Every once in a while, a book comes along that is so well-written, researched, and designed that I just can't put it down. That's how good 100 Things Every Designer Needs to Know About People is!' --Lynne Cooke, Clinical Assistant Professor at Arizona State University",1382.0,0,None,English,Paperback,"22.9,17.8,1.3",cm,9780136746911,https://www.bookdelivery.com/il-en/book-100-things-every-designer-needs-to-know-about-people-voices-that-matter/9780136746911/p/53519353,0.5,kg,,1,2
Outdoor Sports And Leisure Activities,100 more swimming drills,"blythe, lucero",Swimming and diving,63.09,20.97,2013.0,,,0,None,English,,,,9781782550013,https://www.bookdelivery.com/il-en/book-100-more-swimming-drills/9781782550013/p/25417009,,,1782550011,0,2
Outdoor Sports And Leisure Activities,100-Mile Ultra-Marathon Training Schedule: The Ideal for Complete 21 Week Training Plan for an 100 Mile or 160 km Ultra Marathon With Daily Running Record,Elite R. N.,Running and jogging,45.78,15.21,2020.0,"An ultramarathon, also called ultra distance or ultra running, is any footrace longer than the traditional marathon length of 42.195 kilometres (26.219 mi).If Marathons have become too easy for your. What was once the pinnacle of achievement in a runner's life is now a stepping stone for extraordinary adventure in ultramarathoning.This book is training program In a more 21 weeks you can be ready for a 100-miles. This schedule is ideal for busy runners looking to take on an ultra-marathon.100-Mile Ultra-Marathon Training schedule includes: 16 Week trainig plan ― In a 21 weeks you can be ready for a 100-miles. This schedule is ideal for busy runners looking to take on an ultra-marathon.The Ultra Marathon training plan key..Running Log ― 21 Week for keep record training (Duration, Distance, Average Pace)",812.0,0,None,English,Paperback,"22.9,15.2,0.6",cm,9781658339100,https://www.bookdelivery.com/il-en/book-100-mile-ultra-marathon-training-schedule-the-ideal-for-complete-21-week-training-plan-for-an-100-mile-or-160-km-ultra-marathon-with-daily-running-record/9781658339100/p/52305897,0.16,kg,,0,1
